fold,window,candidate_key,score_name,primary_col,confirm_preset,filter_preset,barrier,take_profit_mult,stop_loss_mult,max_holding_bars,leverage,capital_fraction,threshold,trades,win_rate,avg_return,median_return,avg_win,avg_loss,payoff_ratio,breakeven_win_rate,total_return,profit_factor,max_drawdown,avg_holding_bars,take_profit_rate,stop_loss_rate,time_exit_rate,liquidation_rate,months,avg_trades_per_month,avg_monthly_return,median_monthly_return,best_monthly_return,worst_monthly_return,positive_month_rate,monthly_return_std,monthly_sharpe,candles,signals,signal_rate,trades_per_1000_candles,signal_to_trade_rate,profitable,enough_trades_per_month,drawdown_ok,worst_month_ok,monthly_return_ok,profit_factor_ok,positive_month_ok,worst_month_to_avg,monthly_balance_ok,return_to_worst_month,return_to_drawdown,constraints_ok,robust_score,chosen_in_fold
1,calibration,directional_1h|sem_confirmacao|volume_muito_leve|tp1.3_sl1.0_48,directional_1h,pred_score_directional_1h,sem_confirmacao,volume_muito_leve,tp1.3_sl1.0_48,1.3,1.0,48,2.0,0.5,0.53894,20,0.65,0.0013458030194339124,0.0033264205870323425,0.005394003728002596,0.006172284010765072,0.873907247073356,0.5336443420888558,0.02685745701689357,1.6229706017076608,-0.01734737766969585,2.3,0.65,0.35,0.0,0.0,4,5.0,0.006692788545887812,0.008367599196289932,0.018235437445369262,-0.008199481654397878,0.75,0.00950379751165473,0.7042225528984901,4320,33,0.007638888888888889,4.62962962962963,0.6060606060606061,True,False,True,True,False,True,True,1.2251218753109732,True,0.816245322324499,0.38580981363998607,False,-0.007096251485131833,False
1,calibration,directional_1h|sem_confirmacao|sem_filtro|tp2.2_sl1.2_96,directional_1h,pred_score_directional_1h,sem_confirmacao,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,2.0,0.5,0.408177,66,0.5606060606060606,0.001973825355899309,0.0027469433998017277,0.008331105357237039,0.00613718705960055,1.3574794570102746,0.4241818510979465,0.13633410416329883,1.731956548599316,-0.03709395724880904,8.469696969696969,0.5454545454545454,0.4393939393939394,0.015151515151515152,0.0,4,16.5,0.033022792629304965,0.02975827375515816,0.0840535358637482,-0.011478912856844659,0.75,0.03395492960102284,0.9725478161000283,4320,150,0.034722222222222224,15.277777777777777,0.44,True,True,True,True,True,True,True,0.3476057578079597,True,2.8768223124556696,0.890247228350521,True,0.007685838702428872,False
1,calibration,directional_1h|sem_confirmacao|volume_muito_leve|tp2.0_sl1.2_96,directional_1h,pred_score_directional_1h,sem_confirmacao,volume_muito_leve,tp2.0_sl1.2_96,2.0,1.2,96,2.0,0.5,0.53894,17,0.5882352941176471,0.0029714687240471414,0.006306376702796969,0.010139574833996056,0.007268682861594169,1.3949672900947343,0.4175422370634734,0.05091150420708179,1.9928104144210492,-0.01949651819708953,4.588235294117647,0.5882352941176471,0.4117647058823529,0.0,0.0,4,4.25,0.01259521456333007,0.014907854335103332,0.03015863743091729,-0.009593487847803672,0.75,0.014436853085192321,0.872434905931737,4320,33,0.007638888888888889,3.9351851851851847,0.5151515151515151,True,False,True,True,True,True,True,0.7616772068126828,True,1.312892116313423,0.6460237892738357,False,-0.0015188196226839064,False
1,calibration,directional_1h|sem_confirmacao|volume_muito_leve|tp1.3_sl1.0_24,directional_1h,pred_score_directional_1h,sem_confirmacao,volume_muito_leve,tp1.3_sl1.0_24,1.3,1.0,24,2.0,0.5,0.53894,20,0.65,0.0013458030194339124,0.0033264205870323425,0.005394003728002596,0.006172284010765072,0.873907247073356,0.5336443420888558,0.02685745701689357,1.6229706017076608,-0.01734737766969585,2.3,0.65,0.35,0.0,0.0,4,5.0,0.006692788545887812,0.008367599196289932,0.018235437445369262,-0.008199481654397878,0.75,0.00950379751165473,0.7042225528984901,4320,33,0.007638888888888889,4.62962962962963,0.6060606060606061,True,False,True,True,False,True,True,1.2251218753109732,True,0.816245322324499,0.38580981363998607,False,-0.007096251485131833,False
1,calibration,directional_1h|sem_confirmacao|sem_filtro|tp1.5_sl1.0_48,directional_1h,pred_score_directional_1h,sem_confirmacao,sem_filtro,tp1.5_sl1.0_48,1.5,1.0,48,2.0,0.5,0.53894,24,0.6666666666666666,0.0022535330573434536,0.003850924908017063,0.006526999832691817,0.0062934004933532725,1.0371181429793415,0.49088954582549266,0.05488121990799577,2.074236285958683,-0.022700577538653288,4.375,0.6666666666666666,0.3333333333333333,0.0,0.0,4,6.0,0.013544336695195863,0.016217001481596993,0.029942825471987344,-0.008199481654397878,0.75,0.014038594906250427,0.9647929002613713,4320,44,0.010185185185185186,5.555555555555555,0.5454545454545454,True,False,True,True,True,True,True,0.6053808199633881,True,1.6518527958326752,0.5966516346173711,False,0.00041905551433029774,False
1,calibration,directional_1h|sem_confirmacao|sem_filtro|tp2.2_sl1.0_96,directional_1h,pred_score_directional_1h,sem_confirmacao,sem_filtro,tp2.2_sl1.0_96,2.2,1.0,96,2.0,0.5,0.408177,68,0.5,0.0014513042503422233,-0.0007689103082619488,0.008297979616188996,0.005395371115504547,1.537981250695303,0.39401394306047016,0.10124553186553831,1.5379812506953032,-0.02957156704009445,7.323529411764706,0.4852941176470588,0.5,0.014705882352941176,0.0,4,17.0,0.02461138699688159,0.0321019282967,0.04248552627883018,-0.008243834884703816,0.75,0.02054006136155761,1.1982138983744128,4320,150,0.034722222222222224,15.740740740740739,0.4533333333333333,True,True,True,True,True,True,True,0.33496019081526607,True,2.985429395553187,0.8322652284037696,True,0.01151572140991808,False
1,calibration,directional_1h|sem_confirmacao|volume_muito_leve|tp1.2_sl1.0_24,directional_1h,pred_score_directional_1h,sem_confirmacao,volume_muito_leve,tp1.2_sl1.0_24,1.2,1.0,24,2.0,0.5,0.53894,21,0.7142857142857143,0.0013547484620152895,0.0032970881179116072,0.004534191736487764,0.0065938597241658944,0.6876384888611392,0.5925439640066665,0.028478301426423158,1.719096222152848,-0.01780288321314638,2.0952380952380953,0.7142857142857143,0.2857142857142857,0.0,0.0,4,5.25,0.007095924099196599,0.00819659460927269,0.020189988832638894,-0.008199481654397878,0.75,0.010138264844014493,0.6999150454612503,4320,33,0.007638888888888889,4.861111111111112,0.6363636363636364,True,False,True,True,False,True,True,1.1555199209819935,True,0.8654113026023573,0.39858285954247435,False,-0.006521651659073761,False
1,calibration,directional_1h|sem_confirmacao|volume_muito_leve|tp1.8_sl1.0_72,directional_1h,pred_score_directional_1h,sem_confirmacao,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,2.0,0.5,0.53894,18,0.5,0.0015693076308835171,0.0009616831873917387,0.009265866691778094,0.00612725143001106,1.5122386926043556,0.3980513487607074,0.02795269449989113,1.5122386926043556,-0.027770820929993834,4.0,0.5,0.5,0.0,0.0,4,4.5,0.007007395409766581,0.004313655677952999,0.027601751937558205,-0.008199481654397878,0.5,0.013587770805795036,0.5157133947812841,4320,33,0.007638888888888889,4.166666666666667,0.5454545454545454,True,False,True,True,False,True,False,1.1701183071487335,True,0.8546144384636913,0.2523294297792347,False,-0.017731284876465234,False
1,calibration,directional_1h|sem_confirmacao|volume_muito_leve|tp2.0_sl1.0_96,directional_1h,pred_score_directional_1h,sem_confirmacao,volume_muito_leve,tp2.0_sl1.0_96,2.0,1.0,96,2.0,0.5,0.53894,18,0.5,0.0021548763191794984,0.0012845201739990276,0.010437004068370056,0.00612725143001106,1.7033745371129998,0.36990804872636135,0.03871129282796759,1.7033745371129998,-0.027770820929993723,4.111111111111111,0.5,0.5,0.0,0.0,4,4.5,0.009660926184275359,0.006476019474181416,0.03389114744313648,-0.008199481654397878,0.75,0.0156399816902157,0.6177070009179862,4320,33,0.007638888888888889,4.166666666666667,0.5454545454545454,True,False,True,True,False,True,True,0.8487262502578472,True,1.1782362094918062,0.3478804680865998,False,-0.0124951232459924,False
1,calibration,directional_1h|sem_confirmacao|sem_filtro|tp1.5_sl1.0_24,directional_1h,pred_score_directional_1h,sem_confirmacao,sem_filtro,tp1.5_sl1.0_24,1.5,1.0,24,2.0,0.5,0.53894,24,0.6666666666666666,0.00193812738014684,0.003850924908017063,0.006053891316896896,0.0062934004933532725,0.9619428039405196,0.5096988546207981,0.04700779126540411,1.9238856078810391,-0.022700577538653288,3.9166666666666665,0.625,0.3333333333333333,0.041666666666666664,0.0,4,6.0,0.011622513368250514,0.016217001481596993,0.02225553216420595,-0.008199481654397878,0.75,0.01204708948775577,0.9647569547867325,4320,44,0.010185185185185186,5.555555555555555,0.5454545454545454,True,False,True,True,False,True,True,0.7054826606434877,True,1.4174692813681287,0.5119919679779222,False,-0.0027978072280785016,False
1,calibration,directional_1h|sem_confirmacao|volume_muito_leve|tp2.0_sl1.0_72,directional_1h,pred_score_directional_1h,sem_confirmacao,volume_muito_leve,tp2.0_sl1.0_72,2.0,1.0,72,2.0,0.5,0.53894,18,0.5,0.0021548763191794984,0.0012845201739990276,0.010437004068370056,0.00612725143001106,1.7033745371129998,0.36990804872636135,0.03871129282796759,1.7033745371129998,-0.027770820929993723,4.111111111111111,0.5,0.5,0.0,0.0,4,4.5,0.009660926184275359,0.006476019474181416,0.03389114744313648,-0.008199481654397878,0.75,0.0156399816902157,0.6177070009179862,4320,33,0.007638888888888889,4.166666666666667,0.5454545454545454,True,False,True,True,False,True,True,0.8487262502578472,True,1.1782362094918062,0.3478804680865998,False,-0.0124951232459924,False
1,calibration,directional_1h|sem_confirmacao|sem_filtro|tp1.8_sl1.0_48,directional_1h,pred_score_directional_1h,sem_confirmacao,sem_filtro,tp1.8_sl1.0_48,1.8,1.0,48,2.0,0.5,0.494298,40,0.5,0.0012956481591723426,-0.001197623706647687,0.00795734205002111,0.005366045731676428,1.4829061189411676,0.4027538505670318,0.05191569541598651,1.4829061189411676,-0.03250290203638917,6.025,0.475,0.5,0.025,0.0,4,10.0,0.012944191633736474,0.017364945179904945,0.034873723545220114,-0.01782684737008411,0.75,0.020589629278430128,0.6286753131245991,4320,75,0.017361111111111112,9.25925925925926,0.5333333333333333,True,True,True,True,True,True,True,1.3772082393791174,True,0.7261066056726665,0.3982472586369238,True,-0.024751592010700395,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp1.2_sl1.0_24,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp1.2_sl1.0_24,1.2,1.0,24,2.0,0.5,0.53894,26,0.6923076923076923,0.0011268386276799317,0.0027878375836090995,0.004424722681472466,0.0062934004933532725,0.7030734316281958,0.5871737421468469,0.029284701849013217,1.5819152211634406,-0.022700577538653288,3.3461538461538463,0.6538461538461539,0.3076923076923077,0.038461538461538464,0.0,4,6.5,0.0072847304990209805,0.011102714087713905,0.015132975475053989,-0.008199481654397878,0.75,0.009237725580976965,0.7885848562142025,4320,44,0.010185185185185186,6.018518518518518,0.5909090909090909,True,False,True,True,False,True,True,1.1255710359497628,True,0.8884379288919731,0.3209050733011944,False,-0.01034051676141853,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp1.3_sl1.0_24,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp1.3_sl1.0_24,1.3,1.0,24,2.0,0.5,0.53894,25,0.64,0.0011353140581428414,0.0028063323949282025,0.005148305320672335,0.00599889263079848,0.8582092791994298,0.5381525166157973,0.0282968699250159,1.5257053852434308,-0.023490481096499427,3.56,0.6,0.36,0.04,0.0,4,6.25,0.00704070398509718,0.010701352619197468,0.01495959235639166,-0.008199481654397878,0.75,0.008986262240047184,0.7834963855962668,4320,44,0.010185185185185186,5.787037037037036,0.5681818181818182,True,False,True,True,False,True,True,1.1645826428370576,True,0.8586767166337673,0.29972583176026957,False,-0.011636022203722434,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp1.5_sl1.0_24,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp1.5_sl1.0_24,1.5,1.0,24,2.0,0.5,0.53894,24,0.6666666666666666,0.00193812738014684,0.003850924908017063,0.006053891316896896,0.0062934004933532725,0.9619428039405196,0.5096988546207981,0.04700779126540411,1.9238856078810391,-0.022700577538653288,3.9166666666666665,0.625,0.3333333333333333,0.041666666666666664,0.0,4,6.0,0.011622513368250514,0.016217001481596993,0.02225553216420595,-0.008199481654397878,0.75,0.01204708948775577,0.9647569547867325,4320,44,0.010185185185185186,5.555555555555555,0.5454545454545454,True,False,True,True,False,True,True,0.7054826606434877,True,1.4174692813681287,0.5119919679779222,False,-0.0027978072280785016,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp1.5_sl1.0_48,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp1.5_sl1.0_48,1.5,1.0,48,2.0,0.5,0.53894,24,0.6666666666666666,0.0022535330573434536,0.003850924908017063,0.006526999832691817,0.0062934004933532725,1.0371181429793415,0.49088954582549266,0.05488121990799577,2.074236285958683,-0.022700577538653288,4.375,0.6666666666666666,0.3333333333333333,0.0,0.0,4,6.0,0.013544336695195863,0.016217001481596993,0.029942825471987344,-0.008199481654397878,0.75,0.014038594906250427,0.9647929002613713,4320,44,0.010185185185185186,5.555555555555555,0.5454545454545454,True,False,True,True,True,True,True,0.6053808199633881,True,1.6518527958326752,0.5966516346173711,False,0.00041905551433029774,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp1.3_sl1.0_48,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp1.3_sl1.0_48,1.3,1.0,48,2.0,0.5,0.53894,25,0.64,0.0013554655344682734,0.0028063323949282025,0.005492292002430822,0.00599889263079848,0.9155509758973255,0.5220430114273297,0.033919161428502154,1.627646179373023,-0.023490481096499427,3.96,0.64,0.36,0.0,0.0,4,6.25,0.008423301463750005,0.012436948667102543,0.01701879017519281,-0.008199481654397878,0.75,0.00993913395238366,0.8474884737547862,4320,44,0.010185185185185186,5.787037037037036,0.5681818181818182,True,False,True,True,False,True,True,0.9734284935288919,True,1.027296824212306,0.3585836079366315,False,-0.009232825717792121,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp1.6_sl1.0_48,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp1.6_sl1.0_48,1.6,1.0,48,2.0,0.5,0.53894,23,0.6086956521739131,0.0021613959900293523,0.003733147691759343,0.007539299920980339,0.00620423234700552,1.2151865854313453,0.4514292414809284,0.05020145205101367,1.8902902440043148,-0.027753196906386335,5.304347826086956,0.6086956521739131,0.391304347826087,0.0,0.0,4,5.75,0.012401895796985501,0.017275905076408304,0.023255254689523275,-0.008199481654397878,0.75,0.012774062515180285,0.9708654378548318,4320,44,0.010185185185185186,5.3240740740740735,0.5227272727272727,True,False,True,True,True,True,True,0.6611474397640807,True,1.512521927570094,0.44686368344584043,False,-0.006266819274681356,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp1.8_sl1.0_72,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp1.8_sl1.0_72,1.8,1.0,72,2.0,0.5,0.494298,40,0.5,0.0012216744356444667,-0.001197623706647687,0.007809394602965358,0.005366045731676428,1.4553350816347952,0.40727638662425925,0.04882383728480466,1.4553350816347952,-0.03250290203638928,6.625,0.475,0.5,0.025,0.0,4,10.0,0.012188754663295248,0.015854071239022494,0.034873723545220114,-0.01782684737008411,0.75,0.02006994582942377,0.6073137798621153,4320,75,0.017361111111111112,9.25925925925926,0.5333333333333333,True,True,True,True,True,True,True,1.4625651153490846,True,0.6837302418233325,0.37500511953206767,True,-0.025726624140827516,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.0_72,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.0_72,2.0,1.0,72,2.0,0.5,0.408177,72,0.4861111111111111,0.0009197539453555385,-0.0028705250629820424,0.007542009845320246,0.005344542176232698,1.41116106798815,0.4147379506398511,0.06630989929991804,1.334882091340142,-0.03173062309644992,6.347222222222222,0.4722222222222222,0.5138888888888888,0.013888888888888888,0.0,4,18.0,0.01640938118827434,0.01281765173897409,0.04972928247038788,-0.009727061195238695,0.75,0.02163641811533903,0.7584148679693425,4320,150,0.034722222222222224,16.666666666666668,0.48,True,True,True,True,True,True,True,0.5927744065199342,True,1.6869824152341695,0.5171465161082908,True,-0.006822385438336922,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp1.8_sl1.0_48,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp1.8_sl1.0_48,1.8,1.0,48,2.0,0.5,0.494298,40,0.5,0.0012956481591723426,-0.001197623706647687,0.00795734205002111,0.005366045731676428,1.4829061189411676,0.4027538505670318,0.05191569541598651,1.4829061189411676,-0.03250290203638917,6.025,0.475,0.5,0.025,0.0,4,10.0,0.012944191633736474,0.017364945179904945,0.034873723545220114,-0.01782684737008411,0.75,0.020589629278430128,0.6286753131245991,4320,75,0.017361111111111112,9.25925925925926,0.5333333333333333,True,True,True,True,True,True,True,1.3772082393791174,True,0.7261066056726665,0.3982472586369238,True,-0.024751592010700395,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.0_96,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.0_96,2.0,1.0,96,2.0,0.5,0.408177,72,0.4861111111111111,0.0008849090297685742,-0.0028705250629820424,0.007470328876112777,0.005344542176232698,1.397749073687453,0.4170578193414205,0.06364466807845104,1.3221950697043474,-0.03173062309644947,6.680555555555555,0.4722222222222222,0.5138888888888888,0.013888888888888888,0.0,4,18.0,0.015753434155529766,0.01281765173897409,0.04710549433940958,-0.009727061195238695,0.75,0.020632818703133635,0.7635134288819779,4320,150,0.034722222222222224,16.666666666666668,0.48,True,True,True,True,True,True,True,0.6174565557710034,True,1.619547141662985,0.49647415077999246,True,-0.007609938894842607,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.2_sl1.0_24,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.2_sl1.0_24,1.2,1.0,24,2.0,0.5,0.53894,21,0.7142857142857143,0.0013547484620152895,0.0032970881179116072,0.004534191736487764,0.0065938597241658944,0.6876384888611392,0.5925439640066665,0.028478301426423158,1.719096222152848,-0.01780288321314638,2.0952380952380953,0.7142857142857143,0.2857142857142857,0.0,0.0,4,5.25,0.007095924099196599,0.00819659460927269,0.020189988832638894,-0.008199481654397878,0.75,0.010138264844014493,0.6999150454612503,4320,33,0.007638888888888889,4.861111111111112,0.6363636363636364,True,False,True,True,False,True,True,1.1555199209819935,True,0.8654113026023573,0.39858285954247435,False,-0.006521651659073761,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.3_sl1.0_48,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.3_sl1.0_48,1.3,1.0,48,2.0,0.5,0.53894,20,0.65,0.0013458030194339124,0.0033264205870323425,0.005394003728002596,0.006172284010765072,0.873907247073356,0.5336443420888558,0.02685745701689357,1.6229706017076608,-0.01734737766969585,2.3,0.65,0.35,0.0,0.0,4,5.0,0.006692788545887812,0.008367599196289932,0.018235437445369262,-0.008199481654397878,0.75,0.00950379751165473,0.7042225528984901,4320,33,0.007638888888888889,4.62962962962963,0.6060606060606061,True,False,True,True,False,True,True,1.2251218753109732,True,0.816245322324499,0.38580981363998607,False,-0.007096251485131833,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.3_sl1.0_24,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.3_sl1.0_24,1.3,1.0,24,2.0,0.5,0.53894,20,0.65,0.0013458030194339124,0.0033264205870323425,0.005394003728002596,0.006172284010765072,0.873907247073356,0.5336443420888558,0.02685745701689357,1.6229706017076608,-0.01734737766969585,2.3,0.65,0.35,0.0,0.0,4,5.0,0.006692788545887812,0.008367599196289932,0.018235437445369262,-0.008199481654397878,0.75,0.00950379751165473,0.7042225528984901,4320,33,0.007638888888888889,4.62962962962963,0.6060606060606061,True,False,True,True,False,True,True,1.2251218753109732,True,0.816245322324499,0.38580981363998607,False,-0.007096251485131833,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.2_96,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.2_96,2.2,1.2,96,2.0,0.5,0.408177,66,0.5606060606060606,0.001973825355899309,0.0027469433998017277,0.008331105357237039,0.00613718705960055,1.3574794570102746,0.4241818510979465,0.13633410416329883,1.731956548599316,-0.03709395724880904,8.469696969696969,0.5454545454545454,0.4393939393939394,0.015151515151515152,0.0,4,16.5,0.033022792629304965,0.02975827375515816,0.0840535358637482,-0.011478912856844659,0.75,0.03395492960102284,0.9725478161000283,4320,150,0.034722222222222224,15.277777777777777,0.44,True,True,True,True,True,True,True,0.3476057578079597,True,2.8768223124556696,0.890247228350521,True,0.007685838702428872,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp2.5_sl1.0_96,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp2.5_sl1.0_96,2.5,1.0,96,2.0,0.5,0.45356,45,0.4444444444444444,0.0018679294806676844,-0.00308463734527633,0.010909283486430821,0.005365153723942825,2.033358976788766,0.32966754269837184,0.08539731857863164,1.6266871814310129,-0.030146413589342225,8.0,0.4222222222222222,0.5555555555555556,0.022222222222222223,0.0,4,11.25,0.02104216834004502,0.01689952670264716,0.06077438085769926,-0.010404760902813504,0.75,0.0266002235789949,0.7910523111791118,4320,99,0.022916666666666665,10.416666666666666,0.45454545454545453,True,True,True,True,True,True,True,0.4944718973192685,True,2.022359623310047,0.6979990597450085,True,-0.0018145949307917277,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.5_sl1.0_24,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.5_sl1.0_24,1.5,1.0,24,2.0,0.5,0.53894,19,0.631578947368421,0.0016957509955284708,0.0036247229861353434,0.006466894357736598,0.006483351911114032,0.9974615671641667,0.5006354146877121,0.03221825193008221,1.7099341151385714,-0.027770820929993834,2.736842105263158,0.631578947368421,0.3684210526315789,0.0,0.0,4,4.75,0.008051374123518612,0.005665293835016794,0.02907439047843874,-0.008199481654397878,0.75,0.01367189618762554,0.5888995946886962,4320,33,0.007638888888888889,4.398148148148149,0.5757575757575758,True,False,True,True,False,True,True,1.0183953109875534,True,0.9819369641738479,0.28992207842234646,False,-0.014470487769264004,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp2.2_sl1.0_96,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp2.2_sl1.0_96,2.2,1.0,96,2.0,0.5,0.408177,68,0.5,0.0014513042503422233,-0.0007689103082619488,0.008297979616188996,0.005395371115504547,1.537981250695303,0.39401394306047016,0.10124553186553831,1.5379812506953032,-0.02957156704009445,7.323529411764706,0.4852941176470588,0.5,0.014705882352941176,0.0,4,17.0,0.02461138699688159,0.0321019282967,0.04248552627883018,-0.008243834884703816,0.75,0.02054006136155761,1.1982138983744128,4320,150,0.034722222222222224,15.740740740740739,0.4533333333333333,True,True,True,True,True,True,True,0.33496019081526607,True,2.985429395553187,0.8322652284037696,True,0.01151572140991808,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|sem_filtro|tp2.0_sl1.2_96,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,sem_filtro,tp2.0_sl1.2_96,2.0,1.2,96,2.0,0.5,0.408177,68,0.5735294117647058,0.0017459919183635264,0.0026403574119144633,0.007546326171634065,0.006054457594655469,1.2464082956490659,0.4451550512597555,0.12360013436761186,1.676204259665985,-0.03923627712804234,7.823529411764706,0.5588235294117647,0.4264705882352941,0.014705882352941176,0.0,4,17.0,0.030331735533727117,0.019163145797311487,0.09595795146926167,-0.012957300928976179,0.75,0.040175821186629324,0.7549748738881196,4320,150,0.034722222222222224,15.740740740740739,0.4533333333333333,True,True,True,True,True,True,True,0.4271862688031292,True,2.340899211956774,0.773053351487542,True,-0.0023209684533866057,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.5_sl1.0_48,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.5_sl1.0_48,1.5,1.0,48,2.0,0.5,0.53894,19,0.631578947368421,0.0016957509955284708,0.0036247229861353434,0.006466894357736598,0.006483351911114032,0.9974615671641667,0.5006354146877121,0.03221825193008221,1.7099341151385714,-0.027770820929993834,2.736842105263158,0.631578947368421,0.3684210526315789,0.0,0.0,4,4.75,0.008051374123518612,0.005665293835016794,0.02907439047843874,-0.008199481654397878,0.75,0.01367189618762554,0.5888995946886962,4320,33,0.007638888888888889,4.398148148148149,0.5757575757575758,True,False,True,True,False,True,True,1.0183953109875534,True,0.9819369641738479,0.28992207842234646,False,-0.014470487769264004,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.6_sl1.0_48,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.6_sl1.0_48,1.6,1.0,48,2.0,0.5,0.53894,18,0.5555555555555556,0.0014292391693357302,0.0038401726490160173,0.007660065560206486,0.006359293819252716,1.2045465704093892,0.4536080178221401,0.02548301190209523,1.5056832130117366,-0.027770820929993723,3.7777777777777777,0.5555555555555556,0.4444444444444444,0.0,0.0,4,4.5,0.006366687904275442,0.006157815053833837,0.02135060316383197,-0.008199481654397878,0.75,0.010611213290202088,0.599996223820527,4320,33,0.007638888888888889,4.166666666666667,0.5454545454545454,True,False,True,True,False,True,True,1.287872403623186,True,0.77647443736405,0.22925818146769783,False,-0.017285848670761696,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_48,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_48,1.8,1.0,48,2.0,0.5,0.53894,18,0.5,0.0015693076308835171,0.0009616831873917387,0.009265866691778094,0.00612725143001106,1.5122386926043556,0.3980513487607074,0.02795269449989113,1.5122386926043556,-0.027770820929993834,4.0,0.5,0.5,0.0,0.0,4,4.5,0.007007395409766581,0.004313655677952999,0.027601751937558205,-0.008199481654397878,0.5,0.013587770805795036,0.5157133947812841,4320,33,0.007638888888888889,4.166666666666667,0.5454545454545454,True,False,True,True,False,True,False,1.1701183071487335,True,0.8546144384636913,0.2523294297792347,False,-0.017731284876465234,False
1,calibration,directional_1h|exec_30m_dir_1h_minimo|volume_muito_leve|tp1.8_sl1.0_72,directional_1h,pred_score_directional_1h,exec_30m_dir_1h_minimo,volume_muito_leve,tp1.8_sl1.0_72,1.8,1.0,72,2.0,0.5,0.53894,18,0.5,0.0015693076308835171,0.0009616831873917387,0.009265866691778094,0.00612725143001106,1.5122386926043556,0.3980513487607074,0.02795269449989113,1.5122386926043556,-0.027770820929993834,4.0,0.5,0.5,0.0,0.0,4,4.5,0.007007395409766581,0.004313655677952999,0.027601751937558205,-0.008199481654397878,0.5,0.013587770805795036,0.5157133947812841,4320,33,0.007638888888888889,4.166666666666667,0.5454545454545454,True,False,True,True,False,True,False,1.1701183071487335,True,0.8546144384636913,0.2523294297792347,False,-0.017731284876465234,False
